             x                y                z         azimuth        dip        iRx
   2944.48633       1700.00000       790.000000       30.0000000               0         220
   3117.69141       1800.00000       790.000000       30.0000000               0         221
   3290.89648       1900.00000       790.000000       30.0000000               0         222
   3464.10156       2000.00000       790.000000       30.0000000               0         223
   3637.30664       2100.00000       790.000000       30.0000000               0         224
   3810.51172       2200.00000       790.000000       30.0000000               0         225
   3983.71680       2300.00000       790.000000       30.0000000               0         226
   4156.92188       2400.00000       790.000000       30.0000000               0         227
   4330.12695       2500.00000       790.000000       30.0000000               0         228
   4503.33203       2600.00000       790.000000       30.0000000               0         229
   4676.53711       2700.00000       790.000000       30.0000000               0         230
   4849.74219       2800.00000       790.000000       30.0000000               0         231
   5022.94727       2900.00000       790.000000       30.0000000               0         232
   5196.15234       3000.00000       790.000000       30.0000000               0         233
   5369.35742       3100.00000       790.000000       30.0000000               0         234
   5542.56250       3200.00000       790.000000       30.0000000               0         235
   5715.76758       3300.00000       790.000000       30.0000000               0         236
   5888.97266       3400.00000       790.000000       30.0000000               0         237
   6062.17773       3500.00000       790.000000       30.0000000               0         238
   6235.38281       3600.00000       790.000000       30.0000000               0         239
   6408.58789       3700.00000       790.000000       30.0000000               0         240
   6581.79297       3800.00000       790.000000       30.0000000               0         241
   6754.99805       3900.00000       790.000000       30.0000000               0         242
   6928.20312       4000.00000       790.000000       30.0000000               0         243
  -8428.20312      -1401.92383       790.000000       30.0000000               0         244
  -8254.99805      -1301.92383       790.000000       30.0000000               0         245
  -8081.79297      -1201.92383       790.000000       30.0000000               0         246
  -7908.58789      -1101.92383       790.000000       30.0000000               0         247
  -7735.38281      -1001.92383       790.000000       30.0000000               0         248
  -7562.17773      -901.923828       790.000000       30.0000000               0         249
  -7388.97266      -801.923828       790.000000       30.0000000               0         250
  -7215.76758      -701.923828       790.000000       30.0000000               0         251
  -7042.56250      -601.923828       790.000000       30.0000000               0         252
  -6869.35742      -501.923828       790.000000       30.0000000               0         253
  -6696.15234      -401.923828       790.000000       30.0000000               0         254
  -6522.94727      -301.923828       790.000000       30.0000000               0         255
  -6349.74219      -201.923828       790.000000       30.0000000               0         256
  -6176.53711      -101.923828       790.000000       30.0000000               0         257
  -6003.33203      -1.92382812       790.000000       30.0000000               0         258
  -5830.12695       98.0761719       790.000000       30.0000000               0         259
  -5656.92188       198.076172       790.000000       30.0000000               0         260
  -5483.71680       298.076172       790.000000       30.0000000               0         261
  -5310.51172       398.076172       790.000000       30.0000000               0         262
  -5137.30664       498.076172       790.000000       30.0000000               0         263
  -4964.10156       598.076172       790.000000       30.0000000               0         264
  -4790.89648       698.076172       790.000000       30.0000000               0         265
  -4617.69141       798.076172       790.000000       30.0000000               0         266
  -4444.48633       898.076172       790.000000       30.0000000               0         267
  -4271.28125       998.076172       790.000000       30.0000000               0         268
  -4098.07617       1098.07617       790.000000       30.0000000               0         269
  -3924.87109       1198.07617       790.000000       30.0000000               0         270
