iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 75 Hx 0.25 4.266071e-13 -4.021412e-12
1 76 Hx 0.25 4.120361e-13 -3.319189e-12
1 77 Hx 0.25 4.008734e-13 -2.799225e-12
1 78 Hx 0.25 3.901081e-13 -2.356082e-12
1 79 Hx 0.25 3.796723e-13 -1.976599e-12
1 80 Hx 0.25 3.680597e-13 -1.690295e-12
1 81 Hx 0.25 3.559144e-13 -1.427643e-12
1 82 Hx 0.25 3.422266e-13 -1.222004e-12
1 83 Hx 0.25 3.278234e-13 -1.039522e-12
1 84 Hx 0.25 3.124663e-13 -8.879169e-13
1 85 Hx 0.25 2.965241e-13 -7.582300e-13
1 86 Hx 0.25 2.800887e-13 -6.470115e-13
1 87 Hx 0.25 2.635402e-13 -5.527191e-13
1 88 Hx 0.25 2.469026e-13 -4.717730e-13
1 89 Hx 0.25 2.305530e-13 -4.015919e-13
1 90 Hx 0.25 2.145247e-13 -3.434160e-13
1 91 Hx 0.25 1.988733e-13 -2.899633e-13
1 92 Hx 0.25 1.841994e-13 -2.487590e-13
1 93 Hx 0.25 1.695256e-13 -2.075548e-13
1 94 Hx 0.25 1.564988e-13 -1.785888e-13
1 95 Hx 0.25 1.435228e-13 -1.499996e-13
1 96 Hx 0.25 1.316022e-13 -1.263962e-13
1 97 Hx 0.25 1.205721e-13 -1.069996e-13
1 98 Hx 0.25 1.095421e-13 -8.760312e-14
1 99 Hx 0.25 1.004434e-13 -7.475519e-14
1 100 Hx 0.25 9.136659e-14 -6.198147e-14
1 101 Hx 0.25 8.279698e-14 -5.061981e-14
1 1 Hy 0.25 3.180371e-11 -2.043875e-11
1 2 Hy 0.25 3.417791e-11 -2.415333e-11
1 3 Hy 0.25 3.660152e-11 -2.842700e-11
1 4 Hy 0.25 3.911523e-11 -3.372030e-11
1 5 Hy 0.25 4.162894e-11 -3.901359e-11
1 6 Hy 0.25 4.410516e-11 -4.577485e-11
1 7 Hy 0.25 4.656782e-11 -5.306694e-11
1 8 Hy 0.25 4.895144e-11 -6.096153e-11
1 9 Hy 0.25 5.108986e-11 -7.072533e-11
1 10 Hy 0.25 5.322829e-11 -8.048912e-11
1 11 Hy 0.25 5.476287e-11 -9.287726e-11
1 12 Hy 0.25 5.621181e-11 -1.056376e-10
1 13 Hy 0.25 5.692831e-11 -1.206344e-10
1 14 Hy 0.25 5.720434e-11 -1.369761e-10
1 15 Hy 0.25 5.662828e-11 -1.553594e-10
1 16 Hy 0.25 5.514399e-11 -1.759190e-10
1 17 Hy 0.25 5.254801e-11 -1.986874e-10
1 18 Hy 0.25 4.858824e-11 -2.241654e-10
1 19 Hy 0.25 4.292523e-11 -2.525688e-10
1 20 Hy 0.25 3.565406e-11 -2.837343e-10
1 21 Hy 0.25 2.549250e-11 -3.193272e-10
1 22 Hy 0.25 1.393890e-11 -3.570525e-10
1 23 Hy 0.25 -2.577574e-12 -4.017773e-10
1 24 Hy 0.25 -2.121377e-11 -4.493667e-10
1 25 Hy 0.25 -4.466879e-11 -5.034034e-10
1 26 Hy 0.25 -7.346388e-11 -5.644338e-10
1 27 Hy 0.25 -1.063940e-10 -6.309041e-10
1 28 Hy 0.25 -1.468639e-10 -7.073604e-10
1 29 Hy 0.25 -1.953551e-10 -7.949128e-10
1 30 Hy 0.25 -2.513576e-10 -8.933457e-10
1 31 Hy 0.25 -3.163229e-10 -1.005276e-09
1 32 Hy 0.25 -3.942345e-10 -1.138149e-09
1 33 Hy 0.25 -4.871002e-10 -1.297339e-09
1 34 Hy 0.25 -5.970158e-10 -1.488205e-09
1 35 Hy 0.25 -7.292796e-10 -1.721620e-09
1 36 Hy 0.25 -8.921689e-10 -2.012855e-09
1 37 Hy 0.25 -1.098979e-09 -2.383036e-09
1 38 Hy 0.25 -1.371226e-09 -2.860684e-09
1 39 Hy 0.25 -1.743419e-09 -3.483134e-09
1 40 Hy 0.25 -2.269887e-09 -4.297567e-09
1 41 Hy 0.25 -3.098838e-09 -5.417414e-09
1 42 Hy 0.25 -4.362405e-09 -6.886802e-09
1 43 Hy 0.25 -6.375702e-09 -8.827252e-09
1 44 Hy 0.25 -9.763379e-09 -1.141674e-08
1 45 Hy 0.25 -1.566822e-08 -1.483617e-08
1 46 Hy 0.25 -2.640610e-08 -1.933701e-08
1 47 Hy 0.25 -4.766207e-08 -2.536084e-08
1 48 Hy 0.25 -9.435794e-08 -3.369166e-08
1 49 Hy 0.25 -2.303841e-07 -4.667976e-08
1 50 Hy 0.25 -9.133334e-07 -7.320872e-08
1 51 Hy 0.25 -6.537478e-06 -1.343754e-07
1 52 Hy 0.25 -8.825292e-07 -7.196236e-08
1 53 Hy 0.25 -2.273928e-07 -4.696914e-08
1 54 Hy 0.25 -9.411559e-08 -3.442151e-08
1 55 Hy 0.25 -4.783145e-08 -2.614060e-08
1 56 Hy 0.25 -2.661018e-08 -2.002247e-08
1 57 Hy 0.25 -1.580785e-08 -1.537971e-08
1 58 Hy 0.25 -9.826914e-09 -1.181922e-08
1 59 Hy 0.25 -6.378899e-09 -9.109808e-09
1 60 Hy 0.25 -4.326194e-09 -7.076594e-09
1 61 Hy 0.25 -3.039523e-09 -5.537913e-09
1 62 Hy 0.25 -2.198780e-09 -4.367393e-09
1 63 Hy 0.25 -1.668992e-09 -3.518747e-09
1 64 Hy 0.25 -1.297742e-09 -2.872254e-09
1 65 Hy 0.25 -1.028943e-09 -2.378014e-09
1 66 Hy 0.25 -8.269174e-10 -1.996584e-09
1 67 Hy 0.25 -6.694008e-10 -1.697871e-09
1 68 Hy 0.25 -5.426505e-10 -1.459625e-09
1 69 Hy 0.25 -4.381390e-10 -1.265782e-09
1 70 Hy 0.25 -3.504360e-10 -1.104920e-09
1 71 Hy 0.25 -2.773402e-10 -9.713790e-10
1 72 Hy 0.25 -2.167801e-10 -8.594908e-10
1 73 Hy 0.25 -1.648471e-10 -7.615010e-10
1 74 Hy 0.25 -1.201216e-10 -6.746845e-10
1 75 Hy 0.25 -8.306582e-11 -5.992216e-10
1 76 Hy 0.25 -5.318335e-11 -5.339177e-10
1 77 Hy 0.25 -2.722257e-11 -4.741296e-10
1 78 Hy 0.25 -6.315667e-12 -4.214163e-10
1 79 Hy 0.25 1.005848e-11 -3.751890e-10
1 80 Hy 0.25 2.444171e-11 -3.318407e-10
1 81 Hy 0.25 3.419387e-11 -2.954964e-10
1 82 Hy 0.25 4.266067e-11 -2.612741e-10
