iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 29 Hx 0.25 -6.702934e-13 5.877966e-12
1 30 Hx 0.25 -7.086542e-13 7.316152e-12
1 31 Hx 0.25 -7.390037e-13 9.202222e-12
1 32 Hx 0.25 -7.419432e-13 1.167577e-11
1 33 Hx 0.25 -6.774829e-13 1.497978e-11
1 34 Hx 0.25 -4.617019e-13 1.948322e-11
1 35 Hx 0.25 8.001960e-14 2.574792e-11
1 36 Hx 0.25 1.300109e-12 3.462128e-11
1 37 Hx 0.25 3.879745e-12 4.735741e-11
1 38 Hx 0.25 9.077945e-12 6.576831e-11
1 39 Hx 0.25 1.912690e-11 9.240328e-11
1 40 Hx 0.25 3.784091e-11 1.307534e-10
1 41 Hx 0.25 7.154646e-11 1.854783e-10
1 42 Hx 0.25 1.343556e-10 2.654097e-10
1 43 Hx 0.25 2.524018e-10 3.828479e-10
1 44 Hx 0.25 4.720472e-10 5.526470e-10
1 45 Hx 0.25 8.868964e-10 7.987525e-10
1 46 Hx 0.25 1.758754e-09 1.169302e-09
1 47 Hx 0.25 3.709850e-09 1.729673e-09
1 48 Hx 0.25 9.002436e-09 2.629803e-09
1 49 Hx 0.25 2.667629e-08 4.152734e-09
1 50 Hx 0.25 1.179945e-07 6.761105e-09
1 51 Hx 0.25 1.898921e-09 -2.424909e-11
1 52 Hx 0.25 -1.123532e-07 -6.363703e-09
1 53 Hx 0.25 -2.545332e-08 -3.908314e-09
1 54 Hx 0.25 -8.618631e-09 -2.483914e-09
1 55 Hx 0.25 -3.568926e-09 -1.641788e-09
1 56 Hx 0.25 -1.701386e-09 -1.116112e-09
1 57 Hx 0.25 -8.628351e-10 -7.669884e-10
1 58 Hx 0.25 -4.612419e-10 -5.337579e-10
1 59 Hx 0.25 -2.471737e-10 -3.718416e-10
1 60 Hx 0.25 -1.312695e-10 -2.590889e-10
1 61 Hx 0.25 -6.915785e-11 -1.817807e-10
1 62 Hx 0.25 -3.563788e-11 -1.284655e-10
1 63 Hx 0.25 -1.698728e-11 -9.085990e-11
1 64 Hx 0.25 -7.009878e-12 -6.458191e-11
1 65 Hx 0.25 -1.931971e-12 -4.632241e-11
1 66 Hx 0.25 4.808452e-13 -3.364317e-11
1 67 Hx 0.25 1.505760e-12 -2.479375e-11
1 68 Hx 0.25 1.843292e-12 -1.854982e-11
1 69 Hx 0.25 1.860442e-12 -1.407537e-11
1 70 Hx 0.25 1.740530e-12 -1.081065e-11
1 71 Hx 0.25 1.571346e-12 -8.385044e-12
1 72 Hx 0.25 1.393680e-12 -6.553100e-12
1 73 Hx 0.25 1.227649e-12 -5.173092e-12
1 74 Hx 0.25 1.088978e-12 -4.191176e-12
1 75 Hx 0.25 9.674912e-13 -3.390941e-12
1 76 Hx 0.25 8.606408e-13 -2.736460e-12
1 77 Hx 0.25 7.746362e-13 -2.261900e-12
1 78 Hx 0.25 6.978731e-13 -1.862278e-12
1 79 Hx 0.25 6.287683e-13 -1.524755e-12
1 80 Hx 0.25 5.710592e-13 -1.276715e-12
1 81 Hx 0.25 5.162975e-13 -1.051101e-12
1 82 Hx 0.25 4.687003e-13 -8.792352e-13
1 83 Hx 0.25 4.243175e-13 -7.285975e-13
1 84 Hx 0.25 3.842203e-13 -6.062638e-13
1 85 Hx 0.25 3.474750e-13 -5.036049e-13
1 86 Hx 0.25 3.135538e-13 -4.175240e-13
1 87 Hx 0.25 2.827127e-13 -3.461691e-13
1 88 Hx 0.25 2.543004e-13 -2.864256e-13
1 89 Hx 0.25 2.282350e-13 -2.357081e-13
1 90 Hx 0.25 2.047872e-13 -1.950567e-13
1 91 Hx 0.25 1.826289e-13 -1.581942e-13
1 92 Hx 0.25 1.638151e-13 -1.311571e-13
1 93 Hx 0.25 1.450012e-13 -1.041200e-13
1 94 Hx 0.25 1.300810e-13 -8.647248e-14
1 95 Hx 0.25 1.152808e-13 -6.911405e-14
1 96 Hx 0.25 1.023991e-13 -5.534910e-14
1 97 Hx 0.25 9.113637e-14 -4.461632e-14
1 98 Hx 0.25 7.987361e-14 -3.388354e-14
1 99 Hx 0.25 7.150008e-14 -2.753507e-14
1 100 Hx 0.25 6.315930e-14 -2.123629e-14
1 101 Hx 0.25 5.546225e-14 -1.578976e-14
1 1 Hy 0.25 2.879381e-11 -1.087677e-11
1 2 Hy 0.25 3.146555e-11 -1.367073e-11
1 3 Hy 0.25 3.426544e-11 -1.698378e-11
1 4 Hy 0.25 3.729905e-11 -2.124352e-11
1 5 Hy 0.25 4.033265e-11 -2.550326e-11
1 6 Hy 0.25 4.352627e-11 -3.116759e-11
1 7 Hy 0.25 4.677776e-11 -3.733984e-11
1 8 Hy 0.25 5.002821e-11 -4.410385e-11
1 9 Hy 0.25 5.327546e-11 -5.270375e-11
1 10 Hy 0.25 5.652272e-11 -6.130366e-11
1 11 Hy 0.25 5.949122e-11 -7.253591e-11
1 12 Hy 0.25 6.242018e-11 -8.414151e-11
1 13 Hy 0.25 6.486041e-11 -9.803672e-11
1 14 Hy 0.25 6.700674e-11 -1.133088e-10
1 15 Hy 0.25 6.850218e-11 -1.307054e-10
1 16 Hy 0.25 6.930383e-11 -1.503664e-10
1 17 Hy 0.25 6.917794e-11 -1.723576e-10
1 18 Hy 0.25 6.791415e-11 -1.972073e-10
1 19 Hy 0.25 6.514919e-11 -2.251745e-10
1 20 Hy 0.25 6.096686e-11 -2.560850e-10
1 21 Hy 0.25 5.410810e-11 -2.917538e-10
1 22 Hy 0.25 4.596035e-11 -3.297144e-10
1 23 Hy 0.25 3.307213e-11 -3.752388e-10
1 24 Hy 0.25 1.811411e-11 -4.238674e-10
1 25 Hy 0.25 -1.572785e-12 -4.794864e-10
1 26 Hy 0.25 -2.661783e-11 -5.426944e-10
1 27 Hy 0.25 -5.584576e-11 -6.117996e-10
1 28 Hy 0.25 -9.279325e-11 -6.917142e-10
1 29 Hy 0.25 -1.380975e-10 -7.835886e-10
1 30 Hy 0.25 -1.913041e-10 -8.871433e-10
1 31 Hy 0.25 -2.540102e-10 -1.005142e-09
1 32 Hy 0.25 -3.305839e-10 -1.145431e-09
1 33 Hy 0.25 -4.233138e-10 -1.313572e-09
1 34 Hy 0.25 -5.345260e-10 -1.515103e-09
1 35 Hy 0.25 -6.699590e-10 -1.761386e-09
1 36 Hy 0.25 -8.384761e-10 -2.068420e-09
1 37 Hy 0.25 -1.054180e-09 -2.458457e-09
1 38 Hy 0.25 -1.339764e-09 -2.961742e-09
1 39 Hy 0.25 -1.731512e-09 -3.618178e-09
1 40 Hy 0.25 -2.286496e-09 -4.478639e-09
1 41 Hy 0.25 -3.160586e-09 -5.665768e-09
1 42 Hy 0.25 -4.492289e-09 -7.229186e-09
1 43 Hy 0.25 -6.611887e-09 -9.302422e-09
1 44 Hy 0.25 -1.017198e-08 -1.208055e-08
1 45 Hy 0.25 -1.635977e-08 -1.575932e-08
1 46 Hy 0.25 -2.757061e-08 -2.060207e-08
1 47 Hy 0.25 -4.966418e-08 -2.705448e-08
1 48 Hy 0.25 -9.789871e-08 -3.587268e-08
1 49 Hy 0.25 -2.351698e-07 -4.921325e-08
1 50 Hy 0.25 -8.720844e-07 -7.460812e-08
1 51 Hy 0.25 -6.802260e-06 -1.347683e-07
1 52 Hy 0.25 -8.468992e-07 -6.994515e-08
1 53 Hy 0.25 -2.245642e-07 -4.559602e-08
1 54 Hy 0.25 -9.327627e-08 -3.335150e-08
1 55 Hy 0.25 -4.748019e-08 -2.536844e-08
1 56 Hy 0.25 -2.649317e-08 -1.950881e-08
1 57 Hy 0.25 -1.578266e-08 -1.506399e-08
1 58 Hy 0.25 -9.816994e-09 -1.164234e-08
1 59 Hy 0.25 -6.347727e-09 -9.021800e-09
1 60 Hy 0.25 -4.261991e-09 -7.039440e-09
1 61 Hy 0.25 -2.942738e-09 -5.526594e-09
1 62 Hy 0.25 -2.074862e-09 -4.365938e-09
1 63 Hy 0.25 -1.526252e-09 -3.515995e-09
1 64 Hy 0.25 -1.143125e-09 -2.863164e-09
1 65 Hy 0.25 -8.684681e-10 -2.360148e-09
1 66 Hy 0.25 -6.654342e-10 -1.969201e-09
1 67 Hy 0.25 -5.106084e-10 -1.661251e-09
1 68 Hy 0.25 -3.892449e-10 -1.414596e-09
1 69 Hy 0.25 -2.920051e-10 -1.213421e-09
1 70 Hy 0.25 -2.128416e-10 -1.046370e-09
1 71 Hy 0.25 -1.491529e-10 -9.079026e-10
1 72 Hy 0.25 -9.842439e-11 -7.923672e-10
1 73 Hy 0.25 -5.640752e-11 -6.916919e-10
1 74 Hy 0.25 -2.155523e-11 -6.030241e-10
1 75 Hy 0.25 5.828870e-12 -5.266318e-10
1 76 Hy 0.25 2.646827e-11 -4.612867e-10
1 77 Hy 0.25 4.350759e-11 -4.019454e-10
1 78 Hy 0.25 5.598281e-11 -3.503106e-10
1 79 Hy 0.25 6.455393e-11 -3.057155e-10
1 80 Hy 0.25 7.142858e-11 -2.642402e-10
1 81 Hy 0.25 7.454402e-11 -2.303029e-10
1 82 Hy 0.25 7.669296e-11 -1.986186e-10
1 83 Hy 0.25 7.683502e-11 -1.716121e-10
1 84 Hy 0.25 7.599353e-11 -1.474510e-10
1 85 Hy 0.25 7.411031e-11 -1.263035e-10
1 86 Hy 0.25 7.153259e-11 -1.078639e-10
1 87 Hy 0.25 6.838873e-11 -9.163176e-11
1 88 Hy 0.25 6.491153e-11 -7.749417e-11
1 89 Hy 0.25 6.112160e-11 -6.532170e-11
